pos_index,Ra_ganz,Rq_ganz,Rz_ganz,Rt_ganz,Ra_Messlinienlange,Rq_Messlinienlange,Rz_Messlinienlange,Rt_Messlinienlange,Ra_ohneRand,Rq_ohneRand,Rz_ohneRand,Rt_ohneRand,Original_Linienanzahl,Original_MW_Linienbreite,Original_ST_Linienbreite,Original_Max,Original_Min,Original_Bereich,Sobel_Linienanzahl,Sobel_MW_Linienbreite,Sobel_ST_Linienbreite,Sobel_Max,Sobel_Min,Sobel_Bereich,Sobel_kont_Linienanzahl,Sobel_kont_MW_Linienbreite,Sobel_kont_ST_Linienbreite,Sobel_kont_Max,Sobel_kont_Min,Sobel_kont_Bereich,DFT_Median_Linienanzahl,DFT_Median_MW_Linienbreite,DFT_Median_ST_Linienbreite,DFT_Median_Max,DFT_Median_Min,DFT_Median_Bereich,DFT_Median_sobel_Linienanzahl,DFT_Median_sobel_MW_Linienbreite,DFT_Median_sobel_ST_Linienbreite,DFT_Median_sobel_Max,DFT_Median_sobel_Min,DFT_Median_sobel_Bereich,zscore_max_abs,outlier_features,true_label
1,10.76136993,13.509859800000001,59.45098039,66.66666667,11.932322409999998,15.23343803,59.1372549,66.66666667,11.4649098,14.58769908,59.76470588,66.66666667,340.0,3.6676470590000037,2.5538000049999994,16.0,1.0,15.0,367.0,3.384196185,1.628114988,10.0,1.0,9.0,363.0,3.421487603,1.607928357,9.0,1.0,8.0,51.0,10.62745098,4.9861014059999995,33.0,6.0,27.0,54.0,9.796296296,0.729780018,12.0,9.0,3.0,4.881872094920379,"['Ra_ganz', 'Rq_ganz', 'Rz_ganz', 'Ra_Messlinienlange', 'Rq_Messlinienlange', 'Rz_Messlinienlange', 'Rt_Messlinienlange', 'Ra_ohneRand', 'Rq_ohneRand', 'Rz_ohneRand', 'Rt_ohneRand']",2
9,6.109923639,7.71487262,35.60784314,53.33333333,6.384744555,8.097953667,34.19607843,52.94117647,6.112301176,7.581253451,34.50980392,52.94117647,11.0,47.45454545,68.14338311,213.0,1.0,212.0,317.0,3.917981073,2.231031157,12.0,1.0,11.0,321.0,3.869158879,2.193522518,12.0,1.0,11.0,19.0,28.21052632,53.28036959000001,249.0,4.0,245.0,48.0,11.35416667,4.432313087,30.0,4.0,26.0,3.7753195252342193,"['DFT_Median_Max', 'DFT_Median_Bereich']",1
21,3.510024575,4.773470497,28.39215686,54.50980392,3.83443585,4.696667826,19.92156863,27.05882353,3.977181197,5.547279834,27.21568627,54.50980392,3.0,88.0,120.21924420000002,258.0,1.0,257.0,328.0,3.795731707,2.270780746,14.0,1.0,13.0,324.0,3.842592593,2.215944064,13.0,1.0,12.0,13.0,38.07692308,66.94252591,255.0,2.0,253.0,45.0,12.06666667,5.949416405,36.0,3.0,33.0,3.9252720993697015,"['DFT_Median_ST_Linienbreite', 'DFT_Median_Max', 'DFT_Median_Bereich']",0
29,7.955415007,9.434598801,37.33333333,43.1372549,8.531498066,10.21686835,37.41176471,40.78431373,8.470432962,9.955145427,37.25490196,41.17647059,1.0,1.0,0.0,1.0,1.0,0.0,340.0,3.655882353,1.719044053,9.0,1.0,8.0,209.0,5.765550239,5.711363625,39.0,1.0,38.0,35.0,14.85714286,4.336837934,25.0,2.0,23.0,36.0,14.91666667,3.1391347,26.0,8.0,18.0,5.786657447194926,"['Sobel_kont_Linienanzahl', 'Sobel_kont_MW_Linienbreite', 'Sobel_kont_ST_Linienbreite', 'Sobel_kont_Max', 'Sobel_kont_Bereich']",2
32,3.7916288,4.704606446,23.52941176,27.84313725,3.410443947,4.254493057,16.31372549,22.35294118,3.474287435,4.335431277,19.21568627,25.09803922,1.0,2.9999999999999964,0.0,3.0,3.0,0.0,329.0,3.790273556,2.108406157,12.0,1.0,11.0,331.0,3.767371601,2.057399595,12.0,1.0,11.0,7.0000000000000036,19.71428571,21.008258820000002,65.0,5.0,60.0,52.0,10.13461538,3.838212956,24.0,2.0,22.0,6.330767053952479,['Original_Min'],0
34,5.081139033,6.177803245,27.1372549,32.15686275,5.025539951,6.247509566,25.64705882,29.01960784,5.085564821,6.308175151,26.58823529,29.01960784,1.0,2.0,0.0,2.0,2.0,0.0,294.0,4.238095238,1.997731139,13.0,1.0,12.0,298.0,4.181208054,1.944027823,12.0,1.0,11.0,38.0,13.92105263,9.359435371,56.0,3.0,53.0,50.0,10.88,3.983164571,29.0,4.0,25.0,3.0656259855200183,['Original_Min'],1
41,3.868090437,4.825024462,25.01960784,33.7254902,4.142600131,5.10918725,21.56862745,25.49019608,4.193091597,5.217371262,24.8627451,33.7254902,1.0,2.0,0.0,2.0,2.0,0.0,377.0,3.286472149,1.58997273,12.0,1.0,11.0,379.0,3.269129288,1.476776076,10.0,1.0,9.0,25.0,17.48,16.13969021,53.0,2.0,51.0,53.0,10.1509434,2.405937831,23.0,5.0,18.0,3.0656259855200183,['Original_Min'],0
43,3.625522824,4.668936151,23.60784314,30.58823529,3.951410091,5.016714047,21.80392157,25.88235294,3.827143111,4.921309795,22.74509804,30.19607843,1.0,2.9999999999999964,0.0,3.0,3.0,0.0,342.0,3.619883041,2.225966375,16.0,1.0,15.0,344.0,3.61627907,2.188333786,15.0,1.0,14.0,28.0,19.07142857,8.668203684,56.0,7.0,49.0,37.0,14.56756757,6.166783473,28.0,2.0,26.0,6.330767053952479,['Original_Min'],1
44,3.892232993,4.878664664,25.88235294,30.98039216,3.87025013,4.85184331,21.56862745,27.45098039,3.851444037,4.763172695,23.60784314,27.45098039,5.0,230.0,281.6920304,615.0,1.0,614.0,380.0,3.263157895,1.663607534,12.0,1.0,11.0,376.0,3.29787234,1.69686687,12.0,1.0,11.0,19.0,24.0,25.20651545,95.0,5.0,90.0,51.0,10.21568627,2.695775384,20.0,5.0,15.0,4.725049192552028,"['Original_MW_Linienbreite', 'Original_ST_Linienbreite']",0
50,5.266646588,6.490723316,31.1372549,40.78431373,5.29853337,6.339379911,24.39215686,34.50980392,5.098169725,6.176725884,28.07843137,34.50980392,44.0,28.11363636,40.80174679,143.0,1.0,142.0,222.0,5.572072072,3.165372078,14.0,1.0,13.0,228.0,5.425438596,3.070610871,12.0,1.0,11.0,33.0,16.27272727,23.07073803,138.0,4.0,134.0,54.0,10.11111111,4.184037863,25.0,1.0,24.0,4.736301451065383,"['Sobel_Linienanzahl', 'Sobel_MW_Linienbreite', 'Sobel_ST_Linienbreite', 'Sobel_kont_MW_Linienbreite']",0
